condominio_id,condominio_nome,condominio_endereco
55741f1ea669417e95ad6081f4235a95,Elysian Vale Villas,Rua Sérgio Silva N. 93
281df7ed249d42aca30eea847c0c0b6b,Chácara da Liberdade,Setor Jorge Cardoso N. 106
dcff950af89a4879bed10d037060d016,Azure Elite Mansions,Pátio Fernando Costa N. 75
ac36ffb729984560afda6d73e5ba25a4,Luxuria Crest Residences,Cond. Manuel Pereira N. 337
747fe70926124a818b517ffe106d7771,Chácara da Paz Rural,Distrito Filipe Marques N. 201
d10e85065fa14155bb5daa328371168f,Chácara da Liberdade,Travessa Fábio Tavares N. 785
dba3d7aced334417b9918e09ca6b5e9d,Chácara das Estrelas,Viela Sebastião Vieira N. 334
74e7ba3bc60e42f395762fbc78229c41,Chácara Serenidade Rural,Esplanada Frederico Soares N. 866
5f7ef53658ea4380af8e31bb2a5a0b0e,Vale Tranquilo,Passarela Leonardo Fernandes N. 626
7cb2848532354a15947de0afa2680488,Diamond Ridge Mansions,Estr. Gonçalo Cunha N. 230
1f06b17aa8da4fbf8e6fb11e897cbfce,Chácara do Sol Nascente,Estreito Lúcia Raposo N. 916
a24dc900b959449d96a95dc6ecbda098,Recanto da Serra,Loteamento Nélson Vieira N. 857
4123f02bf5f943a9b637952c646c2aac,Terra das Colheitas,Viela Sebastião Nunes N. 278
ccca66bf49874414b954510638361181,Luxe Horizons Estates,Alameda Fernando Soares N. 629
93a7505b04224afc9b2a708155df3186,Sítio do Vale Verde,Setor Jorge Raposo N. 191
e2c7a4b43b404359bc8c5cde98c3968d,Terra dos Bosques,Sítio Leonardo Gomes N. 13
563956464a4a40b8b0165971cdc763c4,Chácara Éden,Jardim Nélson Nunes N. 58
59769483fbb44ccb8499ec03be0f05fb,Recanto das Árvores,Al. Tomé Antunes N. 452
a14e7620dd2141db89e8db7229a252a1,Chácara dos Pássaros,Praça Henrique Jesus N. 620
9afbd9682b574029b89503fc7b94dbcb,Vila Serenidade Campestre,R. Júlia Rodrigues N. 567
82b463befc9345f89f5b8edf18219668,Sapphire Springs Villas,Colonia Henrique Cunha N. 20
52d9bd7b2b4643bc805ae6327cf20e64,Terra das Nascentes,Colonia Leonardo Simões N. 489
c76367f5ff5e448aa13d11e8b2cfe133,Terra da Harmonia Campestre,Trecho Nicolau Tavares N. 242
2ce0a6a82f3b4dcf8c41fa77c6d8acff,Sítio Vista Verde,Al. Manuel Vieira N. 322
fd9cb31715de4fbd818b030ff57f6dfd,Imperium Towers Residence,Estr. Gustavo Cunha N. 402
c66f1f3d3b3d45138142c8f785cfa585,Sítio dos Sonhos,Avenida Joaquim Silva N. 590
46cc84ac3434407fa64a1ef4bf26fdf4,Sítio Primavera,Avenida Rodolfo Tavares N. 974
a51dcd0054cf49f3bf6a99a094e8375a,Vila Campestre Alvorada,Lot. Pedro Pires N. 722
11773e23d9f74ccaa2d107a911d8da2b,Regency Palisades Residences,Al. Tomé Reis N. 229
64135284d5ca4935abb808dc26041ce7,Vila das Nascentes,Estrada Eduardo Marques N. 993
fcd17d667ebb41c2a25a440e79fb66bb,Sítio Aurora,Avenida José Sousa N. 938
cb8012edd2ad4b61a04f271f78385da9,Grandeur Crest Villas,Campo Gonçalo Gonçalves N. 818
a1af61f779604e1ea742809456c34c51,Terra da Tranquilidade,Estreito Tiago Vieira N. 280
759d62a0444c4594aab82e9c9ddca299,Village Campestre da Paz,Av. José Silva N. 832
c4434e165328461fb1674b7c2a84b7de,Grandeur Park Mansions,Travessa Fábio Rodrigues N. 173
53bd11abfbb24a519ff644d715c79e5c,Riviera Elegante Estates,Sítio Rodolfo Monteiro N. 66
501be18789974b1fa50c101f70b9b9b8,Celestial Valley Estates,Estrada Nélson Cunha N. 797
7200bd8dabe14e82abd065fbc7b8179f,Chácara Harmonia Rural,Estaçao Guilherme Sousa N. 994
7b31e3f9cbfc425eb6de5ed27a636e97,Chácara Felicidade,Viela Vítor Antunes N. 17
1a7b9b4245364434a3da8e0169aab197,Imperial Crest Residences,Al. Tomé Ferreira N. 371
f0a8429348ec46f1a73abed3daa6bcfc,Aurora Heights Mansions,Pátio Osvaldo Soares N. 718
8d63a7c33fb94d1ba7dd6c5c49c9f242,Bosque das Águas,Alameda Leonardo Tavares N. 203
ec2fb86902ec45d6b6ad3b8ba81e74cf,Vila dos Lagos,Estaçao Gustavo Teixeira N. 968
d87003e3029743298884a03116d16dc4,Vila Caminho Rural,Avenida José Gomes N. 731
d74898f7dfc847ab94ec7b8471a37ded,Sítio da Paz Interior,Trecho Nicolau Carvalho N. 335
e24fdde445da427a8d74e7f5b8358782,Elite Crest Residences,Chácara Gabriel Correia N. 672
0dabbc85aaa34709bbab5eafd90b7e82,Terra do Pôr do Sol,Set. Joaquim Cunha N. 9
72896379ddd64c49b11604d3e6923a05,Vila Rural das Flores,Jardim Filipe Alves N. 833
acb9e2e8853a4fa79e3ed4dce8da1d43,Royal Splendor Mansions,Trecho Nicolau Silva N. 261
a6034c99a4eb455ea12ce96d84408358,Sítio Sereno,Loteamento Filipe Machado N. 689
